#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_001329695.1	PRJNA342700	SAMN00138171	JTAO00000000.1	representative genome	578459	29898	Rhodotorula graminis WP1	strain=WP1		latest	Scaffold	Major	Full	2015/10/19	Rhoba1_1	DOE Joint Genome Institute	GCA_001329695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/329/695/GCF_001329695.1_Rhoba1_1		
GCF_000961545.1	PRJNA319337	SAMN03199974	AXCR00000000.1	representative genome	1397361	29908	Sporothrix schenckii 1099-18	strain=1099-18		latest	Contig	Major	Full	2015/03/24	S_schenckii_v1	LNCC	GCA_000961545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/961/545/GCF_000961545.1_S_schenckii_v1		
GCF_000149035.1	PRJNA225514	SAMN02953757	ACOD00000000.1	representative genome	645133	31870	Colletotrichum graminicola M1.001	strain=M1.001		latest	Scaffold	Major	Full	2010/10/12	C_graminicola_M1_001_V1	Broad Institute	GCA_000149035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/035/GCF_000149035.1_C_graminicola_M1_001_V1		assembly from type material
GCF_000091025.4	PRJNA10623	SAMN03081415		representative genome	284811	33169	Eremothecium gossypii ATCC 10895	strain=ATCC 10895		latest	Complete Genome	Major	Full	2010/10/18	ASM9102v4	Biozentrum, University of Basel, Switzerland	GCA_000091025.4	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/025/GCF_000091025.4_ASM9102v4		
GCF_000149615.1	PRJNA17637	SAMN02953635	AAJN00000000.1	representative genome	341663	33178	Aspergillus terreus NIH2624	strain=NIH2624		latest	Scaffold	Major	Full	2006/09/08	ASM14961v1	Broad Institute	GCA_000149615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/615/GCF_000149615.1_ASM14961v1		
GCF_000003515.1	PRJNA39807	SAMN02953631	AAIW00000000.1	representative genome	336963	33188	Uncinocarpus reesii 1704	strain=1704		latest	Scaffold	Major	Full	2009/05/21	ASM351v2	Broad Institute	GCA_000003515.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/515/GCF_000003515.1_ASM351v2		
GCF_001653265.1	PRJNA342689	SAMN04404347	LSBI00000000.1	representative genome	33203	33203	Purpureocillium lilacinum		PLFJ-1	latest	Scaffold	Major	Full	2016/05/27	ASM165326v1	The Institute of Vegetables and Flowers CAAS	GCA_001653265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/265/GCF_001653265.1_ASM165326v1		
GCF_000708205.1	PRJNA302309	SAMN02863149	AYOQ00000000.1	representative genome	764103	34349	Mixia osmundae IAM 14324	strain=IAM 14324		latest	Scaffold	Major	Full	2014/06/23	Mixia osmundae v1.0	DOE Joint Genome Institute	GCA_000708205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/708/205/GCF_000708205.1_Mixia_osmundae_v1.0		
GCF_003184785.1	PRJNA479916	SAMN05660717	PSTF00000000.1	representative genome	1448312	34381	Aspergillus japonicus CBS 114.51	strain=CBS 114.51		latest	Scaffold	Major	Full	2018/06/04	Aspjap1	DOE Joint Genome Institute	GCA_003184785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/785/GCF_003184785.1_Aspjap1		assembly designated as neotype
GCF_000226115.1	PRJNA79337	SAMN02744067		representative genome	578455	35720	Thielavia terrestris NRRL 8126	strain=NRRL 8126		latest	Complete Genome	Major	Full	2011/09/16	ASM22611v1	DOE Joint Genome Institute	GCA_000226115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/115/GCF_000226115.1_ASM22611v1		
GCF_000150035.1	PRJNA20539	SAMN02953681	AAZN00000000.1	representative genome	436907	36033	Vanderwaltozyma polyspora DSM 70294	strain=DSM 70294		latest	Scaffold	Major	Full	2007/08/17	ASM15003v1	Trinity College Dublin, Ireland	GCA_000150035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/035/GCF_000150035.1_ASM15003v1		assembly from type material
GCF_000149645.1	PRJNA18475	SAMN02953637	AAKE00000000.3	representative genome	331117	36630	Aspergillus fischeri NRRL 181	strain=NRRL 181		latest	Scaffold	Major	Full	2006/12/14	ASM14964v1	TIGR	GCA_000149645.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/645/GCF_000149645.1_ASM14964v1		assembly designated as neotype
GCF_000315645.1	PRJNA302315	SAMN02981416	AKCU00000000.1	representative genome	1170230	36651	Penicillium digitatum Pd1	strain=Pd1		latest	Scaffold	Major	Full	2012/11/28	PdigPd1_v1	Center for Genomic Regulation (CRG)	GCA_000315645.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/645/GCF_000315645.1_PdigPd1_v1		
GCF_000145635.1	PRJNA225513	SAMN02981249	ADBI00000000.1	representative genome	644352	36779	Gaeumannomyces tritici R3-111a-1	strain=R3-111a-1		latest	Scaffold	Major	Full	2010/08/25	Gae_graminis_V2	Broad Institute	GCA_000145635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/635/GCF_000145635.1_Gae_graminis_V2		
GCF_000003835.1	PRJNA41079	SAMN02953613	AAFT00000000.1	representative genome	306902	36911	Clavispora lusitaniae ATCC 42720	strain=ATCC 42720		latest	Scaffold	Major	Full	2009/06/02	ASM383v1	Broad Institute	GCA_000003835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/835/GCF_000003835.1_ASM383v1		
GCF_000149685.1	PRJNA19611	SAMN02953647	AAPO00000000.1	representative genome	379508	36914	Lodderomyces elongisporus NRRL YB-4239	strain=NRRL YB-4239		latest	Scaffold	Major	Full	2007/05/07	ASM14968v1	Broad Institute	GCA_000149685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/685/GCF_000149685.1_ASM14968v1		assembly from type material
GCF_000001985.1	PRJNA32665	SAMN02953685	ABAR00000000.1	representative genome	441960	37727	Talaromyces marneffei ATCC 18224	strain=ATCC 18224		latest	Scaffold	Major	Full	2008/10/29	JCVI-PMFA1-2.0	J. Craig Venter Institute	GCA_000001985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/985/GCF_000001985.1_JCVI-PMFA1-2.0		assembly from type material
GCF_000185945.1	PRJNA62089	SAMN03081419		representative genome	367775	37769	Cryptococcus gattii WM276	strain=WM276		latest	Chromosome	Major	Full	2011/01/12	ASM18594v1	Canada's Michael Smith Genome Sciences Centre	GCA_000185945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/945/GCF_000185945.1_ASM18594v1		
GCF_000143365.1	PRJNA16821	SAMN02953614	AAFU00000000.1	representative genome	306901	38033	Chaetomium globosum CBS 148.51	strain=CBS 148.51		latest	Scaffold	Major	Full	2006/02/17	ASM14336v1	The Genome Sequencing Platform, The Genome Assembly Team	GCA_000143365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/365/GCF_000143365.1_ASM14336v1		
GCF_000151645.1	PRJNA49017	SAMEA2272024	CABJ00000000.1	representative genome	656061	39416	Tuber melanosporum Mel28	strain=Mel28		latest	Scaffold	Major	Full	2010/05/03	ASM15164v1	The French-Italian Tuber Genome Consortium	GCA_000151645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/645/GCF_000151645.1_ASM15164v1		
GCF_000527765.1	PRJNA302306	SAMN02981453	AMCY00000000.1	representative genome	930091	40125	Bipolaris victoriae FI3	strain=FI3		latest	Scaffold	Major	Full	2014/02/03	Cochliobolus victoriae v1.0	JGI	GCA_000527765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/527/765/GCF_000527765.1_Cochliobolus_victoriae_v1.0		
GCF_000213175.1	PRJNA264105	SAMN02769628	AFBT00000000.1	representative genome	510951	40127	Neurospora tetrasperma FGSC 2508	strain=FGSC 2508		latest	Scaffold	Major	Full	2011/06/21	v2.0	US DOE Joint Genome Institute (JGI-PGF)	GCA_000213175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/175/GCF_000213175.1_v2.0		
GCF_000988165.1	PRJNA445857	SAMN02213592	JPQZ00000000.1	representative genome	40302	40302	Nosema ceranae	strain=PA08 1199		latest	Contig	Major	Full	2015/05/05	ASM98816v1	University of Ottawa	GCA_000988165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/165/GCF_000988165.1_ASM98816v1		
GCF_000835455.1	PRJNA292603	SAMN02567656	JYBS00000000.1	representative genome	1442368	40355	Fonsecaea pedrosoi CBS 271.37	strain=CBS 271.37		latest	Scaffold	Major	Full	2015/02/23	Fons_pedr_CBS_271_37_V1	Broad Institute	GCA_000835455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/455/GCF_000835455.1_Fons_pedr_CBS_271_37_V1		assembly designated as neotype
GCF_000264905.1	PRJNA225528	SAMN02981277	AEGX00000000.1	representative genome	721885	40492	Stereum hirsutum FP-91666 SS1	strain=FP-91666 SS1		latest	Scaffold	Major	Full	2012/06/04	Stehi1	JGI	GCA_000264905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/264/905/GCF_000264905.1_Stehi1		
GCF_000143535.2	PRJNA20061	SAMN02953628		representative genome	332648	40559	Botrytis cinerea B05.10	strain=B05.10		latest	Complete Genome	Major	Full	2015/02/05	ASM14353v4	Syngenta Biotechnology, Inc.	GCA_000143535.4	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/535/GCF_000143535.2_ASM14353v4		
GCF_002237265.1	PRJNA495493	SAMN07177963	NKHU00000000.2	representative genome	41047	41047	Aspergillus thermomutatus	strain=HMR AF 39		latest	Contig	Major	Full	2018/09/12	ASM223726v2	University of Montreal	GCA_002237265.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/237/265/GCF_002237265.1_ASM223726v2		
GCF_001204775.1	PRJNA309724	SAMN02768702	JNOM00000000.1	representative genome	1509407	41061	Aspergillus nomius NRRL 13137	strain=NRRL 13137		latest	Contig	Major	Full	2015/08/04	ASM120477v1	USDA-ARS-SRRC	GCA_001204775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/204/775/GCF_001204775.1_ASM120477v1		assembly from type material
GCF_001890105.1	PRJNA395482	SAMN02194405	MRBM00000000.1	representative genome	1073090	41063	Penicilliopsis zonata CBS 506.65	strain=CBS 506.65		latest	Scaffold	Major	Full	2016/12/08	Aspzo1	DOE Joint Genome Institute	GCA_001890105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/105/GCF_001890105.1_Aspzo1		assembly from type material
GCF_002847045.1	PRJNA453588	SAMN05446799	PKFS00000000.1	representative genome	41067	41067	Aspergillus candidus	strain=CBS 102.13		latest	Scaffold	Major	Full	2017/12/21	Aspcand1	DOE Joint Genome Institute	GCA_002847045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/847/045/GCF_002847045.1_Aspcand1		
GCF_002847485.1	PRJNA453590	SAMN02744593	MSFM00000000.1	representative genome	1392248	41068	Aspergillus campestris IBT 28561	strain=IBT 28561		latest	Contig	Major	Full	2017/12/27	Aspcam1	DOE Joint Genome Institute	GCA_002847485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/847/485/GCF_002847485.1_Aspcam1		
GCF_001890805.1	PRJNA395483	SAMN02194406	LSTL00000000.1	representative genome	1160497	41413	Aspergillus glaucus CBS 516.65	strain=CBS 516.65		latest	Scaffold	Major	Full	2016/12/08	Aspgl1	DOE Joint Genome Institute	GCA_001890805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/805/GCF_001890805.1_Aspgl1		assembly designated as neotype
GCF_001477535.1	PRJNA342697	SAMN02380716	LFWA00000000.1	representative genome	1408657	42068	Pneumocystis jirovecii RU7	strain=RU7		latest	Contig	Major	Full	2015/12/22	Pneu_jiro_RU7_V2	Broad Institute	GCA_001477535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/477/535/GCF_001477535.1_Pneu_jiro_RU7_V2		
GCF_000026945.1	PRJNA38659	SAMEA2272258		representative genome	573826	42374	Candida dubliniensis CD36	strain=CD36		latest	Complete Genome	Major	Full	2009/02/16	ASM2694v1	Wellcome Trust Sanger Institute	GCA_000026945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/945/GCF_000026945.1_ASM2694v1		assembly from type material
GCF_000231115.1	PRJNA242549	SAMN02981316	AEYK00000000.1	representative genome	993615	42399	Vittaforma corneae ATCC 50505	strain=ATCC 50505		latest	Scaffold	Major	Full	2011/10/21	Vitt_corn_V1	Broad Institute	GCA_000231115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/115/GCF_000231115.1_Vitt_corn_V1		
GCF_000585565.1	PRJNA245125	SAMN00974100	AMGY00000000.1	representative genome	1182542	43228	Capronia epimyces CBS 606.96	strain=CBS 606.96		latest	Scaffold	Major	Full	2014/03/05	Capr_epim_CBS_606_96_V1	Broad Institute	GCA_000585565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/565/GCF_000585565.1_Capr_epim_CBS_606_96_V1		
GCF_000585585.1	PRJNA245124	SAMN00974099	AMWN00000000.1	representative genome	1182541	43229	Capronia coronata CBS 617.96	strain=CBS 617.96		latest	Scaffold	Major	Full	2014/03/05	Capr_coro_CBS_617_96_V1	Broad Institute	GCA_000585585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/585/GCF_000585585.1_Capr_coro_CBS_617_96_V1		assembly from type material
GCF_000338995.1	PRJNA245122	SAMN02981285	AEIN00000000.1	representative genome	665912	45130	Bipolaris sorokiniana ND90Pr	strain=ND90Pr		latest	Scaffold	Major	Full	2013/02/19	Cocsa1	JGI	GCA_000338995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/338/995/GCF_000338995.1_Cocsa1		
GCF_000149985.1	PRJNA29813	SAMN02953676	AAXI00000000.1	representative genome	426418	45151	Pyrenophora tritici-repentis Pt-1C-BFP	strain=Pt-1C-BFP		latest	Scaffold	Major	Full	2007/04/11	ASM14998v1	Broad Institute	GCA_000149985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/985/GCF_000149985.1_ASM14998v1		
GCF_000235365.1	PRJNA78153	SAMN03081426		representative genome	931890	45285	Eremothecium cymbalariae DBVPG#7215	strain=DBVPG#7215		latest	Chromosome	Major	Full	2011/11/14	ASM23536v1	Carlsberg Laboratory	GCA_000235365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/365/GCF_000235365.1_ASM23536v1		
GCF_001548555.1	PRJNA313947	SAMN04445727		na	45286	45286	Eremothecium sinecaudum	strain=ATCC 58844		latest	Chromosome	Major	Partial	2016/02/04	ASM154855v1	Duke University	GCA_001548555.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/555/GCF_001548555.1_ASM154855v1	partial	assembly from type material
GCF_002926055.2	PRJNA479898	SAMN08161437	PKFO00000000.1	representative genome	45357	45357	[Candida] haemulonis	strain=B11899		latest	Contig	Minor	Full	2018/02/13	CanHae_1.0	Centers for Disease Control and Prevention	GCA_002926055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/926/055/GCF_002926055.2_CanHae_1.0		
GCF_002251995.1	PRJNA453587	SAMN06765614	NDIQ00000000.1	representative genome	45607	45607	Wickerhamiella sorbophila	strain=DS02		latest	Contig	Major	Full	2017/08/15	ASM225199v2	KRIBB	GCA_002251995.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/251/995/GCF_002251995.1_ASM225199v2		
GCF_001661335.1	PRJNA352836	SAMN00794393	LWKO00000000.1	representative genome	984486	45609	Babjeviella inositovora NRRL Y-12698	strain=NRRL Y-12698		latest	Scaffold	Major	Full	2016/09/09	Babin1	DOE Joint Genome Institute	GCA_001661335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/335/GCF_001661335.1_Babin1		assembly from type material
GCF_001661415.1	PRJNA374041	SAMN00794653	LYME00000000.1	representative genome	984487	46583	Suhomyces tanzawaensis NRRL Y-17324	strain=NRRL Y-17324		latest	Scaffold	Major	Full	2016/09/15	Canta1	DOE Joint Genome Institute	GCA_001661415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/415/GCF_001661415.1_Canta1		assembly from type material
GCF_003184545.1	PRJNA479908	SAMN05660217	MSFL00000000.1	representative genome	1448321	51019	Aspergillus heteromorphus CBS 117.55	strain=CBS 117.55		latest	Contig	Major	Full	2018/06/04	Asphet1	DOE Joint Genome Institute	GCA_003184545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/545/GCF_003184545.1_Asphet1		assembly designated as neotype
GCF_000167675.1	PRJNA225530	SAMN02746107	AAIL00000000.2	representative genome	431241	51453	Trichoderma reesei QM6a	strain=QM6a		latest	Scaffold	Major	Full	2011/07/18	v2.0	DOE Joint Genome Institute	GCA_000167675.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/167/675/GCF_000167675.1_v2.0		assembly from type material
GCF_001661345.1	PRJNA374039	SAMN02746076	LYBR00000000.1	representative genome	1344418	54195	Ascoidea rubescens DSM 1968	strain=DSM 1968		latest	Scaffold	Major	Full	2016/09/15	Ascru1	DOE Joint Genome Institute	GCA_001661345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/345/GCF_001661345.1_Ascru1		
GCF_900007375.1	PRJNA479922	SAMEA2827224		representative genome	56646	56646	Fusarium venenatum	strain=A3/5		latest	Chromosome	Major	Full	2018/03/01	ASM90000737v1	ROTHAMSTED RESEARCH	GCA_900007375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/007/375/GCF_900007375.1_ASM90000737v1		
GCF_002708625.1	PRJNA430271	SAMN02745869	JOSV00000000.1	representative genome	1340429	58291	Rhizopus microsporus ATCC 52813	strain=ATCC 52813		latest	Scaffold	Major	Full	2017/10/23	Rhimi1_1	DOE Joint Genome Institute	GCA_002708625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/708/625/GCF_002708625.1_Rhimi1_1		
GCF_001447935.1	PRJNA309725	SAMN03794732	LMYN00000000.1	representative genome	58627	58627	Debaryomyces fabryi	strain=CBS 789		latest	Contig	Major	Full	2015/11/25	debFab1.0	University of Natural Resources and Life Sciences, Vienna	GCA_001447935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/447/935/GCF_001447935.1_debFab1.0		assembly from type material
GCF_000146465.1	PRJNA51607	SAMN03081424		representative genome	876142	58839	Encephalitozoon intestinalis ATCC 50506	strain=ATCC 50506		latest	Chromosome	Major	Full	2010/08/16	ASM14646v1	Keeling lab, University of British Columbia	GCA_000146465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/465/GCF_000146465.1_ASM14646v1		
GCF_003025115.1	PRJNA453598	SAMN05369575	MBDI00000000.1	representative genome	58853	58853	Trichoderma citrinoviride	strain=TUCIM 6016		latest	Scaffold	Major	Full	2018/03/30	Trici v4.0	DOE Joint Genome Institute	GCA_003025115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/025/115/GCF_003025115.1_Trici_v4.0		
GCF_003144115.1	PRJNA480019	SAMN05503900	MKCN00000000.1	representative genome	58919	58919	Tilletiopsis washingtonensis	strain=MCA 4186		latest	Scaffold	Major	Full	2018/05/21	Tilwa1	DOE Joint Genome Institute	GCA_003144115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/144/115/GCF_003144115.1_Tilwa1		
GCF_000281105.1	PRJNA245130	SAMN00989094	AJKL00000000.1	representative genome	1168221	61459	Coniosporium apollinis CBS 100218	strain=CBS 100218		latest	Scaffold	Major	Full	2012/07/31	Coni_apol_CBS100218 _V1	Broad Institute	GCA_000281105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/105/GCF_000281105.1_Coni_apol_CBS100218_V1		
GCF_000151125.1	PRJNA51431	SAMN02953733	ABSU00000000.1	representative genome	663331	63400	Trichophyton benhamiae CBS 112371	strain=CBS 112371		latest	Contig	Major	Full	2010/03/17	ASM15112v2	Arthroderma Genome Sequencing Consortium	GCA_000151125.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/125/GCF_000151125.1_ASM15112v2		
GCF_000150975.2	PRJNA61175	SAMN02953728	ABQE00000000.1	representative genome	535722	63402	Nannizzia gypsea CBS 118893	strain=CBS 118893		latest	Scaffold	Minor	Full	2015/07/16	MS_CBS118893	Broad Institute	GCA_000150975.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/975/GCF_000150975.2_MS_CBS118893		
GCF_000151145.1	PRJNA49289	SAMN02953735	ABVF00000000.1	representative genome	554155	63405	Microsporum canis CBS 113480	strain=CBS 113480		latest	Scaffold	Major	Full	2008/10/22	ASM15114v1	Broad Institute	GCA_000151145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/145/GCF_000151145.1_ASM15114v1		
GCF_000151505.1	PRJNA51485	SAMN02953766	ACYE00000000.1	representative genome	663202	63417	Trichophyton verrucosum HKI 0517	strain=HKI 0517		latest	Scaffold	Major	Full	2010/03/17	ASM15150v1		GCA_000151505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/505/GCF_000151505.1_ASM15150v1		
GCF_000171015.1	PRJNA264112	SAMN02744066	ABDG00000000.2	representative genome	452589	63577	Trichoderma atroviride IMI 206040	strain=IMI 206040		latest	Contig	Major	Full	2011/11/29	TRIAT v2.0	DOE Joint Genome Institute	GCA_000171015.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/171/015/GCF_000171015.1_TRIAT_v2.0		
GCF_002105155.1	PRJNA396744	SAMN05421885	MCFF00000000.1	representative genome	64571	64571	Lobosporangium transversale	strain=NRRL 3116		latest	Contig	Major	Full	2017/04/20	Lobtra1	DOE Joint Genome Institute	GCA_002105155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/105/155/GCF_002105155.1_Lobtra1		assembly from type material
GCF_000968595.1	PRJNA292605	SAMN03453569	LASV00000000.1	representative genome	1408163	68825	Rasamsonia emersonii CBS 393.64	strain=CBS 393.64		latest	Contig	Major	Full	2015/04/03	ASM96859v1	DSM Bio-based Products & Services B.V.	GCA_000968595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/595/GCF_000968595.1_ASM96859v1		assembly from type material
GCF_000225605.1	PRJNA225510	SAMN02981304	AEVU00000000.1	representative genome	983644	73501	Cordyceps militaris CM01	strain=CM01		latest	Scaffold	Major	Full	2011/09/12	CmilitarisCM01_v01	Shanghai Institutes for Biological Sciences (SIBS), Chinese Academy of Sciences	GCA_000225605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/605/GCF_000225605.1_CmilitarisCM01_v01		
GCF_000181695.1	PRJNA27973	SAMN02953680	AAYY00000000.1	representative genome	425265	76773	Malassezia globosa CBS 7966	strain=CBS 7966		latest	Contig	Major	Full	2007/11/02	ASM18169v1	The Procter & Gamble Company	GCA_000181695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/695/GCF_000181695.1_ASM18169v1		assembly from type material
GCF_003290485.1	PRJNA495494	SAMN09478194		representative genome	76775	76775	Malassezia restricta	strain=KCTC 27527		latest	Complete Genome	Major	Full	2018/07/09	ASM329048v1	Korea Polar Research Institute	GCA_003290485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/290/485/GCF_003290485.1_ASM329048v1		
GCF_000349305.1	PRJNA264005	SAMEA2271934	CANK00000000.1	representative genome	1230383	76777	Malassezia sympodialis ATCC 42132	strain=ATCC 42132		latest	Scaffold	Major	Full	2013/03/18	ASM34930v2	SciLifeLab	GCA_000349305.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/305/GCF_000349305.1_ASM34930v2		
GCF_001278385.1	PRJNA309726	SAMN03838212	LGAV00000000.1	representative genome	77020	77020	Malassezia pachydermatis	strain=CBS 1879		latest	Scaffold	Major	Full	2015/09/02	MalaPachy	University of Utrecht	GCA_001278385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/278/385/GCF_001278385.1_MalaPachy		assembly designated as neotype
GCF_000226095.1	PRJNA79339	SAMN00739435		representative genome	573729	78579	Thermothelomyces thermophilus ATCC 42464	strain=ATCC 42464		latest	Complete Genome	Major	Full	2011/09/16	ASM22609v1	DOE Joint Genome Institute	GCA_000226095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/095/GCF_000226095.1_ASM22609v1		
GCF_000271625.1	PRJNA245129	SAMN02981286	AEIT00000000.1	representative genome	741705	80637	Coniophora puteana RWD-64-598 SS2	strain=RWD-64-598 SS2		latest	Scaffold	Major	Full	2012/06/25	Conpu1	DOE Joint Genome Institute	GCA_000271625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/625/GCF_000271625.1_Conpu1		
GCF_001672515.1	PRJNA342684	SAMN04420120	LTAN00000000.1	representative genome	759273	80884	Colletotrichum higginsianum IMI 349063	strain=IMI 349063		latest	Chromosome	Major	Full	2016/06/21	ASM167251v1	GATC Biotech AG	GCA_001672515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/672/515/GCF_001672515.1_ASM167251v1		
GCF_000293215.1	PRJNA296794	SAMN02981437	ALBS00000000.1	representative genome	1186058	82508	Trichosporon asahii var. asahii CBS 2479	strain=CBS 2479		latest	Scaffold	Major	Full	2013/01/23	Trichosporon asahii 1	Beijing Military Command General Hospital of PLA, China	GCA_000293215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/293/215/GCF_000293215.1_Trichosporon_asahii_1		assembly from type material
GCF_000417875.1	PRJNA245148	SAMN02981510	AOUS00000000.1	representative genome	1277687	84751	Anthracocystis flocculosa PF-1	strain=PF-1		latest	Scaffold	Major	Full	2013/07/08	Pflocc_1.0	Université Laval	GCA_000417875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/417/875/GCF_000417875.1_Pflocc_1.0		
GCF_000747765.1	PRJNA302316	SAMD00018595	BBIZ00000000.1	representative genome	84753	84753	Moesziomyces antarcticus	strain=JCM 10317		latest	Scaffold	Major	Full	2014/08/21	ASM74776v1	National Institute of Advanced Industrial Science and Technology	GCA_000747765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/747/765/GCF_000747765.1_ASM74776v1		assembly from type material
